State_abbreviation,State,Plant_county,Burned_coal
TX,Texas,San Jacinto,
TX,Texas,Hardin,
MT,Montana,Roosevelt,
WY,Wyoming,Campbell,Yes
SD,South Dakota,Brookings,
TX,Texas,McLennan,Yes
AZ,Arizona,Navajo,
CT,Connecticut,New Haven,
CA,California,Fresno,
MN,Minnesota,Ramsey,
MD,Maryland,Montgomery,
WV,West Virginia,Monongalia,Yes
TX,Texas,Fayette,
MD,Maryland,Wicomico,
VA,Virginia,Amelia,
VA,Virginia,Brunswick,
VA,Virginia,Charles City,
VA,Virginia,Chesterfield,
VA,Virginia,King and Queen,
PA,Pennsylvania,Franklin,
NC,North Carolina,Craven,
PA,Pennsylvania,Schuylkill,
VA,Virginia,Goochland,
VA,Virginia,Virginia Beach City,
NJ,New Jersey,Bergen,
CA,California,Madera,
CA,California,Merced,
TX,Texas,Calhoun,
OR,Oregon,Linn,
VA,Virginia,Montgomery,Yes
ND,North Dakota,Stutsman,Yes
LA,Louisiana,Ascension,
CT,Connecticut,Middlesex,
FL,Florida,Duval,
CA,California,Fresno,
TX,Texas,Chambers,
VA,Virginia,Buckingham,
VA,Virginia,Wise,Yes
MD,Maryland,Charles,
CT,Connecticut,Windham,
OH,Ohio,Scioto,
PA,Pennsylvania,Lancaster,
MI,Michigan,KENT,
MI,Michigan,BAY,
UT,Utah,Salt Lake,
TX,Texas,Bexar,
OH,Ohio,Ottawa,
OH,Ohio,Mahoning,
OH,Ohio,Lorain,
GA,Georgia,Taylor,
IL,Illinois,Lake,
PA,Pennsylvania,Chester,
NJ,New Jersey,Cumberland,
PA,Pennsylvania,Cumberland,
PA,Pennsylvania,Bradford,
VT,Vermont,Washington,
VA,Virginia,Stafford,
CA,California,San Mateo,
MO,Missouri,Cole,
CA,California,Contra Costa,
CA,California,Los Angeles,
MT,Montana,Deer Lodge,
PA,Pennsylvania,Schuylkill,
CA,California,San Diego,
CT,Connecticut,Fairfield,
NY,New York,Orange,
AZ,Arizona,Pinal,
SC,South Carolina,Greenville,
NC,North Carolina,Gaston,
PA,Pennsylvania,Berks,
NY,New York,Jefferson,
NC,North Carolina,Iredell,
NJ,New Jersey,Gloucester,
NJ,New Jersey,Hudson,
NY,New York,Clinton,
NY,New York,Allegany,
CO,Colorado,Pueblo,
CA,California,San Diego,
NY,New York,Fulton,
PA,Pennsylvania,Washington,
OR,Oregon,Gilliam,
ME,Maine,Somerset,
MN,Minnesota,McLeod,
VA,Virginia,Middlesex,
OR,Oregon,Yamhill,
TX,Texas,Parker,
NY,New York,Madison,
VA,Virginia,King George,
KS,Kansas,Shawnee,
MI,Michigan,Clare,
AR,Arkansas,Washington,
GA,Georgia,Chatham,
CA,California,Orange,
ID,Idaho,Payette,
NC,North Carolina,Cleveland,
SC,South Carolina,Spartanburg,
MN,Minnesota,Kandiyohi,
MN,Minnesota,Kandiyohi,
AK,Alaska,Anchorage,
MS,Mississippi,Kemper,
CA,California,Alameda,
CA,California,San Francisco,
NE,Nebraska,Platte,Yes
AK,Alaska,Northwest Arctic,
AK,Alaska,Nome,
AK,Alaska,Wade Hampton,
AK,Alaska,Bethel,
AK,Alaska,Nome,
AK,Alaska,Wade Hampton,
AK,Alaska,Bethel,
AK,Alaska,Wade Hampton,
AK,Alaska,Nome,
AK,Alaska,Nome,
AK,Alaska,Nome,
AK,Alaska,Northwest Arctic,
AK,Alaska,Wade Hampton,
AK,Alaska,Northwest Arctic,
AK,Alaska,Bethel,
AK,Alaska,Bethel,
CT,Connecticut,New Haven,
TX,Texas,Denton,
IL,Illinois,Madison,
CA,California,San Bernardino,
CA,California,San Bernardino,
CA,California,San Bernardino,
GA,Georgia,Muscogee,
WA,Washington,Pierce,
MN,Minnesota,Scott,
CA,California,Orange,
FL,Florida,Duval,
FL,Florida,Marion,
CA,California,Yuba,
SC,South Carolina,Aiken,
CA,California,Los Angeles,
TX,Texas,Denton,
NV,Nevada,Washoe,
TX,Texas,Comal,
FL,Florida,Collier,
NC,North Carolina,Forsyth,
OH,Ohio,Perry,
OH,Ohio,Williams,
CT,Connecticut,Hartford,
PA,Pennsylvania,Northampton,
NY,New York,Chautauqua,
NC,North Carolina,Guilford,
AK,Alaska,Kenai Peninsula,
MN,Minnesota,Dakota,
MN,Minnesota,Dakota,
FL,Florida,Alachua,
OH,Ohio,Erie,
IN,Indiana,Elkhart,
CA,California,Contra Costa,
MN,Minnesota,Rice,
TX,Texas,Chambers,
ID,Idaho,Gooding,
ID,Idaho,JEFFERSON,
NV,Nevada,Clark,
DE,Delaware,Kent,
VA,Virginia,Henrico,
NC,North Carolina,Durham,
NC,North Carolina,Wayne,
ID,Idaho,Gooding,
AZ,Arizona,Maricopa,
NY,New York,Oneida,
MI,Michigan,Oakland,
IL,Illinois,Will,
MS,Mississippi,Chickasaw,
TN,Tennessee,Benton,
OH,Ohio,Ashtabula,
OH,Ohio,Mahoning,
ID,Idaho,Jerome,
OH,Ohio,Logan,
NC,North Carolina,Davidson,
MI,Michigan,Macomb,
OR,Oregon,Lane,
CA,California,Los Angeles,
PA,Pennsylvania,Franklin,
AL,Alabama,Hale,
CA,California,Riverside,
CA,California,Alameda,
KS,Kansas,Crawford,
NC,North Carolina,Sampson,
FL,Florida,Escambia,
TX,Texas,Harris,
NC,North Carolina,Union,
CA,California,Los Angeles,
CA,California,San Bernardino,
CA,California,San Diego,
CA,California,Santa Clara,
CA,California,Fresno,
CA,California,Contra Costa,
CA,California,El Dorado,
PA,Pennsylvania,Lycoming,
PA,Pennsylvania,Lycoming,
CA,California,San Diego,
CA,California,Ventura,
OK,Oklahoma,Canadian,
CT,Connecticut,New London,
CT,Connecticut,New London,
NY,New York,Suffolk,
CT,Connecticut,New London,
CT,Connecticut,New London,
CT,Connecticut,New London,
CT,Connecticut,New London,
CT,Connecticut,New London,
NC,North Carolina,Guilford,
NC,North Carolina,Guilford,
NC,North Carolina,Davidson,
CT,Connecticut,New London,
IN,Indiana,Jasper,
NC,North Carolina,Gaston,
NC,North Carolina,Gaston,
OR,Oregon,Benton,
CT,Connecticut,New London,
IA,Iowa,Johnson,
CT,Connecticut,Fairfield,
CA,California,Alameda,
CA,California,Los Angeles,
WY,Wyoming,Laramie,
MI,Michigan,St Clair,
CA,California,Santa Clara,
CA,California,San Diego,
CA,California,San Diego,
VA,Virginia,Frederick,
CA,California,San Diego,
CA,California,Butte,
DC,District of Columbia,District of Columbia,
NY,New York,New York,
CA,California,Sonoma,
IN,Indiana,St Joseph,
NY,New York,New York,
VT,Vermont,Addison,
CA,California,Napa,
CA,California,Santa Clara,
CA,California,San Mateo,
CA,California,Santa Clara,
OH,Ohio,Butler,
WI,Wisconsin,La Crosse,
OK,Oklahoma,Osage,
AZ,Arizona,Maricopa,
NJ,New Jersey,Middlesex,
IN,Indiana,Vigo,
NJ,New Jersey,Salem,
NJ,New Jersey,Atlantic,
NJ,New Jersey,Sussex,
NJ,New Jersey,Burlington,
TX,Texas,Hale,
NM,New Mexico,Lea,
CA,California,Santa Cruz,
ND,North Dakota,Williams,
LA,Louisiana,Calcasieu,
SC,South Carolina,Spartanburg,
SC,South Carolina,Union,
VA,Virginia,Henry,
NC,North Carolina,Cabarrus,
VA,Virginia,Henrico,
FL,Florida,Palm Beach,
UT,Utah,Washington,
ID,Idaho,Kootenai,
MN,Minnesota,Kanabec,
OH,Ohio,Hamilton,
GA,Georgia,Lamar,
MN,Minnesota,Clay,
OR,Oregon,Douglas,
MT,Montana,Richland,Yes
WY,Wyoming,Sweetwater,Yes
CA,California,Imperial,
SC,South Carolina,Darlington,
IL,Illinois,Jackson,Yes
OH,Ohio,Hamilton,
NE,Nebraska,Scotts Bluff,Yes
OH,Ohio,Butler,Yes
ND,North Dakota,McKenzie,
SC,South Carolina,Berkeley,
MO,Missouri,Madison,
MI,Michigan,Huron,Yes
MI,Michigan,Sanilac,
TX,Texas,Hemphill,
IA,Iowa,Lee,Yes
MN,Minnesota,Hennepin,Yes
WA,Washington,Snohomish,
CA,California,San Francisco,
CA,California,Lassen,
CA,California,San Joaquin,
CA,California,Placer,
TX,Texas,Bell,
TX,Texas,Grayson,
CA,California,Orange,
MO,Missouri,Buchanan,
NC,North Carolina,Davidson,
PA,Pennsylvania,Cumberland,
MI,Michigan,Calhoun,
NH,New Hampshire,Coos,
CA,California,Los Angeles,
VA,Virginia,Rockingham,
AL,Alabama,Morgan,
IN,Indiana,Posey,
MI,Michigan,Manistee,
TX,Texas,Harris,
KS,Kansas,Butler,
NJ,New Jersey,Essex,
CO,Colorado,Morgan,Yes
CA,California,Orange,
CT,Connecticut,Litchfield,
CA,California,Kern,
LA,Louisiana,Natchitoches,
DE,Delaware,New Castle,
CT,Connecticut,Hartford,
AK,Alaska,North Slope,
CA,California,Tulare,
WI,Wisconsin,Marathon,
NM,New Mexico,Quay,
CA,California,Los Angeles,
IN,Indiana,Jasper,
UT,Utah,Beaver,
CA,California,San Bernardino,
IL,Illinois,Stephenson,
IA,Iowa,Osceola,
UT,Utah,Cache,
OH,Ohio,Portage,
ID,Idaho,Twin Falls,
ME,Maine,Aroostook,
TX,Texas,Brazos,
CT,Connecticut,Fairfield,
ME,Maine,Penobscot,
NY,New York,Monroe,
CT,Connecticut,Middlesex,
CT,Connecticut,Tolland,
MA,Massachusetts,Berkshire,
MI,Michigan,Kalamazoo,
NY,New York,Nassau,
NJ,New Jersey,Mercer,
MA,Massachusetts,Hampshire,
NY,New York,Suffolk,
CA,California,San Bernardino,
CA,California,Orange,
SC,South Carolina,Spartanburg,
IL,Illinois,Winnebago,
TN,Tennessee,Rutherford,
NH,New Hampshire,Strafford,
IL,Illinois,Cook,
KS,Kansas,Phillips,
CT,Connecticut,New London,
MA,Massachusetts,Hampshire,
NY,New York,Rensselaer,
UT,Utah,Tooele,
KS,Kansas,Seward,
KS,Kansas,Finney,
PA,Pennsylvania,Centre,
PA,Pennsylvania,Centre,
MI,Michigan,Osceola,
MN,Minnesota,Blue Earth,
CA,California,San Francisco,
AZ,Arizona,Maricopa,
NY,New York,Monroe,
MO,Missouri,Jackson,
MD,Maryland,Montgomery,
WI,Wisconsin,Dane,
MI,Michigan,St Clair,
CA,California,Orange,
CT,Connecticut,Hartford,
NJ,New Jersey,Cumberland,
IA,Iowa,Marshall,
CT,Connecticut,Hartford,
IL,Illinois,Cook,
MD,Maryland,Anne Arundel,
PA,Pennsylvania,Bucks,
CA,California,Contra Costa,
MD,Maryland,Howard,
CA,California,Los Angeles,
MI,Michigan,Kent,
KS,Kansas,Grant,
CA,California,Los Angeles,
VA,Virginia,Brunswick,
NC,North Carolina,Catawba,
IA,Iowa,Story,
OR,Oregon,Columbia,
OH,Ohio,Lucas,
AK,Alaska,North Slope,
NM,New Mexico,Valencia,
NY,New York,Steuben,
CA,California,Kern,
CA,California,Kern,
CA,California,Kern,
CA,California,Santa Clara,
CA,California,Los Angeles,
CA,California,Santa Clara,
CA,California,San Diego,
CA,California,Monterey,
CA,California,Solano,
OK,Oklahoma,Kay,
PA,Pennsylvania,Philadelphia,
CT,Connecticut,Hartford,
IL,Illinois,Lake,
MI,Michigan,Calhoun,
IL,Illinois,Cook,
IL,Illinois,Ogle,
TX,Texas,Fort Bend,
CA,California,San Luis Obispo,
AK,Alaska,Anchorage,
OR,Oregon,Morrow,
CA,California,Monterey,
NY,New York,Wyoming,
SC,South Carolina,Pickens,
PA,Pennsylvania,Bradford,
PA,Pennsylvania,Lycoming,
MI,Michigan,Ingham,
LA,Louisiana,East Baton Rouge,
CA,California,Los Angeles,
CA,California,Ventura,
DE,Delaware,New Castle,
CA,California,Alameda,
CA,California,San Joaquin,
CA,California,San Joaquin,
OH,Ohio,Cuyahoga,
CA,California,Los Angeles,
HI,Hawaii,Honolulu,
TX,Texas,Ector,
PA,Pennsylvania,Lancaster,
LA,Louisiana,St Mary,
GA,Georgia,Fulton,
PA,Pennsylvania,Lancaster,
OR,Oregon,Morrow,
NY,New York,Bronx,
MT,Montana,Flathead,
CA,California,Alameda,
NC,North Carolina,Montgomery,
MI,Michigan,Berrien,
CT,Connecticut,Fairfield,
WI,Wisconsin,Winnebago,
NC,North Carolina,Onslow,
TN,Tennessee,Montgomery,
VA,Virginia,Halifax,
TX,Texas,El Paso,
MN,Minnesota,Le Sueur,
CO,Colorado,Eagle,
NC,North Carolina,Lenoir,
IN,Indiana,Pike,
NJ,New Jersey,Mercer,
CA,California,Butte,
UT,Utah,Salt Lake,
CA,California,San Francisco,
MN,Minnesota,Olmsted,
CA,California,San Francisco,
CA,California,Alameda,
NC,North Carolina,Mecklenburg,
WI,Wisconsin,Calumet,
CT,Connecticut,Windham,
OR,Oregon,Morrow,
WA,Washington,Pierce,
CA,California,Kern,
MI,Michigan,Ottawa,
SC,South Carolina,Allendale,
SC,South Carolina,Dorchester,
PA,Pennsylvania,Wyoming,
PA,Pennsylvania,Susquehanna,
WI,Wisconsin,Polk,
PA,Pennsylvania,Bradford,
PA,Pennsylvania,Bradford,
NY,New York,New York,
PA,Pennsylvania,Bradford,
WI,Wisconsin,Richland,
TX,Texas,Hale,
NC,North Carolina,Mecklenburg,
PA,Pennsylvania,Philadelphia,
CA,California,San Bernardino,
MN,Minnesota,Stearns,
MA,Massachusetts,Middlesex,
TX,Texas,Dallas,
NJ,New Jersey,Mercer,
CA,California,Sonoma,
OH,Ohio,Summit,
AK,Alaska,Anchorage,
ME,Maine,Penobscot,
MN,Minnesota,Rice,
VA,Virginia,Loudoun,
MA,Massachusetts,Worcester,
DC,District of Columbia,District of Columbia,
MD,Maryland,Baltimore City,
HI,Hawaii,Kauai,
KS,Kansas,Finney,
NJ,New Jersey,Somerset,
PA,Pennsylvania,Montgomery,
OH,Ohio,Wayne,
MD,Maryland,Calvert,
CA,California,Santa Clara,
MI,Michigan,Ottawa,
NJ,New Jersey,Cape May,
FL,Florida,Manatee,
CO,Colorado,Weld,
TX,Texas,Brazoria,
FL,Florida,Orange,
IA,Iowa,Scott,
ND,North Dakota,Williams,
ND,North Dakota,Williams,
MN,Minnesota,Hennepin,
MD,Maryland,Cecil,
GA,Georgia,Lowndes,
AZ,Arizona,Pima,
FL,Florida,Charlotte,
RI,Rhode Island,Providence,
IN,Indiana,Jasper,
CA,California,Los Angeles,
CA,California,Alameda,
CA,California,Santa Clara,
UT,Utah,Salt Lake,
CA,California,Marin,
MO,Missouri,Wright,
NC,North Carolina,Cleveland,
OH,Ohio,Butler,
GA,Georgia,Dougherty,
OH,Ohio,Richland,
TX,Texas,Harris,
TX,Texas,Hidalgo,
KY,Kentucky,Estill,
CT,Connecticut,New London,
IN,Indiana,Marshall,
MI,Michigan,Shiawassee,
NC,North Carolina,Surry,
WI,Wisconsin,Racine,
MI,Michigan,Washtenaw,
NY,New York,Albany,
CA,California,San Diego,
CA,California,San Diego,
CA,California,San Diego,
CA,California,Orange,
MI,Michigan,Branch,
ID,Idaho,Madison,
ID,Idaho,Bannock,
CA,California,Santa Clara,
WI,Wisconsin,Dane,
MI,Michigan,Berrien,
VA,Virginia,Highland,
IL,Illinois,Dewitt,
OK,Oklahoma,Payne,
TX,Texas,Bexar,
GA,Georgia,Clarke,
CA,California,Shasta,
UT,Utah,Washington,
MO,Missouri,Howell,
FL,Florida,Sarasota,
NC,North Carolina,Wake,
OR,Oregon,Lane,
AL,Alabama,Dekalb,
NC,North Carolina,Johnston,
MA,Massachusetts,Middlesex,
KS,Kansas,Montgomery,
SC,South Carolina,Orangeburg,
SC,South Carolina,Orangeburg,
PA,Pennsylvania,Somerset,
OH,Ohio,Lucas,
OH,Ohio,Carroll,
IN,Indiana,White,
OK,Oklahoma,Woods,
DE,Delaware,New Castle,
MI,Michigan,Newaygo,
IL,Illinois,Ogle,
AK,Alaska,Juneau,
IL,Illinois,Cook,
CA,California,San Bernardino,
CT,Connecticut,New Haven,
CA,California,Santa Clara,
CA,California,Alameda,
CA,California,San Bernardino,
CA,California,Santa Clara,
IN,Indiana,Lake,
TN,Tennessee,Washington,
WI,Wisconsin,Brown,
TX,Texas,Hood,
MA,Massachusetts,Hampshire,
NY,New York,Broome,
VA,Virginia,Pulaski,
IL,Illinois,Cook,
VA,Virginia,Frederick,
CA,California,Riverside,
MA,Massachusetts,Norfolk,
PA,Pennsylvania,Luzerne,
VA,Virginia,Greensville,
MI,Michigan,Otsego,
WI,Wisconsin,Milwaukee,
TX,Texas,Colorado,
CA,California,Solano,
CT,Connecticut,Hartford,
FL,Florida,Nassau,
CT,Connecticut,New Haven,
CT,Connecticut,Fairfield,
GA,Georgia,Lowndes,
MI,Michigan,Muskegon,
CT,Connecticut,Hartford,
CA,California,Orange,
TX,Texas,Wharton,
WY,Wyoming,Fremont,
KY,Kentucky,Barren,
GA,Georgia,Twiggs,
CA,California,Santa Clara,
VA,Virginia,Bristol City,
CA,California,Santa Clara,
CA,California,Santa Clara,
VA,Virginia,Accomack,
VA,Virginia,Accomack,
VA,Virginia,Accomack,
SC,South Carolina,Union,
AK,Alaska,Northwest Arctic,
AK,Alaska,Wade Hampton,
AK,Alaska,Dillingham,
CA,California,San Mateo,
MN,Minnesota,Steele,
AK,Alaska,Nome,
OR,Oregon,Washington,
TX,Texas,Galveston,
MA,Massachusetts,Middlesex,
MD,Maryland,Prince Georges,
HI,Hawaii,Honolulu,
GA,Georgia,Dougherty,
FL,Florida,Okeechobee,
UT,Utah,Davis,
PA,Pennsylvania,Lackawanna,
NC,North Carolina,Guilford,
PA,Pennsylvania,Snyder,
OH,Ohio,Trumbull,
CA,California,Alameda,
PA,Pennsylvania,Berks,
CT,Connecticut,New London,
ME,Maine,Somerset,
TX,Texas,Calhoun,
TX,Texas,Harris,
PA,Pennsylvania,Westmoreland,
TX,Texas,Harris,
AR,Arkansas,Washington,
GA,Georgia,Franklin,
MI,Michigan,Marquette,
MN,Minnesota,Olmsted,
CA,California,San Diego,
PA,Pennsylvania,Cambria,
CT,Connecticut,New Haven,
MN,Minnesota,Scott,
CT,Connecticut,Fairfield,
NM,New Mexico,Dona Ana,
FL,Florida,Osceola,
KY,Kentucky,Scott,
IN,Indiana,Elkhart,
IL,Illinois,DuPage,
KS,Kansas,Miami,
KS,Kansas,Miami,
AZ,Arizona,Maricopa,
NV,Nevada,Clark,
IL,Illinois,Lake,
MA,Massachusetts,Essex,
CA,California,Kings,
LA,Louisiana,St Charles,
NJ,New Jersey,Mercer,
CA,California,Los Angeles,
NY,New York,Genesee,
NY,New York,Bronx,
NY,New York,New York,
CA,California,San Joaquin,
PR,Puerto Rico,Penuelas,
PA,Pennsylvania,Berks,
OH,Ohio,Richland,
FL,Florida,Leon,
PR,Puerto Rico,Guayama,Yes
PR,Puerto Rico,Canovanas,
OH,Ohio,Brown,
PR,Puerto Rico,Salinas,
PR,Puerto Rico,,
PR,Puerto Rico,,
PR,Puerto Rico,,
PR,Puerto Rico,Arecibo,
PR,Puerto Rico,,
CA,California,Santa Clara,
CA,California,Orange,
PR,Puerto Rico,,
MA,Massachusetts,Suffolk,
GA,Georgia,Madison,
PR,Puerto Rico,Culebra,
PR,Puerto Rico,,
PR,Puerto Rico,,
PR,Puerto Rico,,
PR,Puerto Rico,,
NY,New York,New York,
TX,Texas,Victoria,
PA,Pennsylvania,Bradford,
IN,Indiana,Johnson,
MD,Maryland,Harford,
GA,Georgia,Barrow,
GA,Georgia,Spalding,
GA,Georgia,Gwinnett,
MI,Michigan,Baraga,
MI,Michigan,Marquette,
NY,New York,Kings,
NY,New York,Queens,
NY,New York,New York,
NY,New York,New York,
CA,California,Kern,
CA,California,Kern,
CA,California,Kern,
UT,Utah,Utah,
NY,New York,Rockland,
NY,New York,Kings,
NY,New York,New York,
NY,New York,New York,
TX,Texas,Denton,
WI,Wisconsin,Marathon,
PR,Puerto Rico,Gurabo,
NC,North Carolina,Wake,
NC,North Carolina,Wake,
AK,Alaska,Prince of Wales-Hyder,
AK,Alaska,Southeast Fairbanks,
MA,Massachusetts,Bristol,
CT,Connecticut,Fairfield,
PA,Pennsylvania,Philadelphia,
CA,California,Kern,
NC,North Carolina,Gaston,
OR,Oregon,Douglas,
FL,Florida,Brevard,
FL,Florida,Hernando,
FL,Florida,Seminole,
CT,Connecticut,Hartford,
PR,Puerto Rico,Caguas,
CT,Connecticut,New Haven,
NJ,New Jersey,Middlesex,
OH,Ohio,Cuyahoga,
CA,California,Tulare,
IA,Iowa,Iowa,
RI,Rhode Island,Washington,
MD,Maryland,Prince Georges,
MS,Mississippi,Smith,
SC,South Carolina,Beaufort,
IL,Illinois,Champaign,
NY,New York,Kings,
NY,New York,Kings,
NY,New York,Suffolk,
WI,Wisconsin,Calumet,
NY,New York,Kings,
NY,New York,Westchester,
WI,Wisconsin,Rock,
MN,Minnesota,Olmsted,
NY,New York,Kings,
CA,California,Kern,
NY,New York,New York,
NY,New York,Westchester,
NY,New York,Queens,
MT,Montana,Yellowstone,Yes
NY,New York,New York,
NY,New York,Bronx,
CA,California,Kings,
CA,California,Kings,
NY,New York,Westchester,
NY,New York,Westchester,
NY,New York,Monroe,
NY,New York,Westchester,
AL,Alabama,Mobile,
NY,New York,Queens,
NY,New York,Westchester,
NY,New York,Westchester,
CT,Connecticut,Fairfield,
NY,New York,Westchester,
CA,California,Los Angeles,
CA,California,Santa Clara,
IA,Iowa,Johnson,
NJ,New Jersey,Atlantic,
CA,California,Los Angeles,
NY,New York,Suffolk,
CA,California,Orange,
CA,California,Los Angeles,
CA,California,Santa Clara,
NY,New York,Queens,
CA,California,Santa Clara,
NY,New York,Westchester,
KS,Kansas,Coffey,
NY,New York,Rockland,
NJ,New Jersey,Union,
MA,Massachusetts,Bristol,
KY,Kentucky,Rowan,
OH,Ohio,Summit,
CA,California,Santa Clara,
WI,Wisconsin,Dane,
CA,California,Santa Clara,
CA,California,Orange,
CA,California,Contra Costa,
CA,California,Alameda,
CA,California,Napa,
CA,California,Santa Clara,
CA,California,Santa Clara,
CA,California,Los Angeles,
CA,California,Los Angeles,
NY,New York,Wayne,
PA,Pennsylvania,Lancaster,
TX,Texas,Harris,
PR,Puerto Rico,,
PR,Puerto Rico,Fajardo,
PR,Puerto Rico,Cupey,
PR,Puerto Rico,Humacao,
VT,Vermont,Orleans,
NC,North Carolina,Pitt,
PA,Pennsylvania,Dauphin,
NY,New York,Oneida,
PA,Pennsylvania,Philadelphia,
MO,Missouri,Marion,
MO,Missouri,Marion,
MO,Missouri,Marion,
VA,Virginia,Bedford,
VT,Vermont,Franklin,
NY,New York,Kings,
CA,California,Los Angeles,
DC,District of Columbia,District of Columbia,
CT,Connecticut,Fairfield,
CA,California,Tulare,
OH,Ohio,Richland,
DC,District of Columbia,District of Columbia,
NJ,New Jersey,Atlantic,
PA,Pennsylvania,Allegheny,
NJ,New Jersey,Burlington,
NJ,New Jersey,Passaic,
NJ,New Jersey,Essex,
CA,California,San Diego,
CA,California,Santa Clara,
CA,California,Solano,
CA,California,Los Angeles,
CA,California,Santa Clara,
OK,Oklahoma,Oklahoma,
TN,Tennessee,Loudon,
MA,Massachusetts,Norfolk,
CA,California,San Joaquin,
NY,New York,Kings,
NY,New York,Kings,
NY,New York,Kings,
CT,Connecticut,Fairfield,
CA,California,Santa Clara,
DE,Delaware,New Castle,
CA,California,Santa Clara,
NJ,New Jersey,Hudson,
NJ,New Jersey,Hudson,
CA,California,Santa Clara,
CA,California,Santa Clara,
NJ,New Jersey,Hudson,
CA,California,Santa Clara,
MI,Michigan,Ottawa,
CA,California,Santa Clara,
CA,California,Alameda,
NJ,New Jersey,Somerset,
CA,California,San Diego,
CA,California,Santa Clara,
CA,California,Los Angeles,
CA,California,Monterey,
ID,Idaho,Cassia,
IA,Iowa,Hamilton,
OH,Ohio,Marion,
MI,Michigan,Tuscola,
IA,Iowa,Worth,
SD,South Dakota,Lincoln,
GA,Georgia,Hart,
